subjectID,block,trial,trialLen,DRTAStart,DRTAEnd,RTTime,trialTime,trialScore
DD01,1,1,3.377165899811799,0.5131203794398869,1.5131203794398869,1.4655258655548096,3.3764688968658447,5
DD01,1,2,4.7882884685830005,1.2379126178018343,2.2379126178018343,1.729625940322876,3.2827579975128174,5
DD01,1,3,4.9019697571303364,1.6766880317406225,2.6766880317406225,2.3499042987823486,4.398143768310547,5
DD01,1,4,4.9066599779341535,1.7379838445535465,2.7379838445535465,2.1829187870025635,4.045889616012573,5
DD01,1,5,3.556532166402178,0.6589979271798433,1.6589979271798434,nan,3.559839963912964,0
DD01,2,1,3.3511800061495665,0.5262948428527106,1.5262948428527106,1.2738473415374756,3.3558924198150635,4
DD01,2,2,4.226772994539243,1.4566001537268671,2.456600153726867,nan,2.6039493083953857,5
DD01,2,3,4.520320193569703,1.1163880576176302,2.1163880576176304,1.5764451026916504,2.651613712310791,5
DD01,2,4,3.373570421930392,1.2026069651356444,2.2026069651356446,1.1732709407806396,2.8874361515045166,5
DD01,2,5,4.772537379698332,1.443076020910812,2.443076020910812,1.9066393375396729,3.364799737930298,5
